POSTE;cumul_precip;temperature_moyenne;annee;mois
Carcassonne;118,3;13;2014;11
Carcassonne;79,3;7,2;2014;12
Nimes;34;6,8;2004;1
Nimes;46;7,5;2004;2
Nimes;31,8;9,6;2004;3
Nimes;77,6;13,3;2004;4
Nimes;13,6;16,8;2004;5
Nimes;3,2;22,9;2004;6
Nimes;1,4;24,7;2004;7
Nimes;172,2;24;2004;8
Nimes;37,8;20,8;2004;9
Nimes;123,4;17;2004;10
Nimes;107,8;10,2;2004;11
Nimes;77,8;7,4;2004;12
Nimes;1;6,8;2005;1
Nimes;2,4;5,8;2005;2
Nimes;8,4;9,8;2005;3
Nimes;89;13,3;2005;4
Nimes;61;18,1;2005;5
Nimes;10,8;24;2005;6
Nimes;4,6;24,9;2005;7
Nimes;12,4;24;2005;8
Nimes;354,8;20,5;2005;9
Nimes;102,8;17,2;2005;10
Nimes;72,4;9,8;2005;11
Nimes;11,2;4,7;2005;12
Nimes;95,4;6;2006;1
Nimes;16,6;6,6;2006;2
Nimes;21,2;10,3;2006;3
Nimes;3,8;15,1;2006;4
Nimes;23,8;18,4;2006;5
Nimes;0,8;22,9;2006;6
Nimes;4,2;28,4;2006;7
Nimes;24,8;23,1;2006;8
Nimes;127,2;21,5;2006;9
Nimes;71,6;18,2;2006;10
Nimes;82,8;13,1;2006;11
Nimes;18,4;7,9;2006;12
Nimes;15,6;9,4;2007;1
Nimes;32,2;9,5;2007;2
Nimes;8;11,5;2007;3
Nimes;40,2;17;2007;4
Nimes;180,2;18,7;2007;5
Nimes;75;21,8;2007;6
Nimes;3;23,6;2007;7
Nimes;5,2;23,4;2007;8
Nimes;92,8;20,3;2007;9
Nimes;33,6;15,6;2007;10
Nimes;93,6;10;2007;11
Nimes;10,6;7,1;2007;12
Nimes;102;9;2008;1
Nimes;39;9,5;2008;2
Nimes;54,4;10,3;2008;3
Nimes;84,8;13,4;2008;4
Nimes;100,8;17,6;2008;5
Nimes;75;21,9;2008;6
Nimes;13;24,2;2008;7
Nimes;7,4;24,2;2008;8
Nimes;65,8;19,4;2008;9
Nimes;162,4;15,2;2008;10
Nimes;122;10,1;2008;11
Nimes;150;6,3;2008;12
Nimes;71,4;5,2;2009;1
Nimes;92,2;7,8;2009;2
Nimes;54,8;11,5;2009;3
Nimes;129,4;14,5;2009;4
Nimes;32;19,5;2009;5
Nimes;54,8;22,6;2009;6
Nimes;19,8;25,2;2009;7
Nimes;18,4;26,4;2009;8
Nimes;38;21,6;2009;9
Nimes;85,8;16,4;2009;10
Nimes;17,8;12,2;2009;11
Nimes;103,6;7,2;2009;12
Nimes;62,4;4,2;2010;1
Nimes;102,4;6,6;2010;2
Nimes;93,7;9,5;2010;3
Nimes;40;14,4;2010;4
Nimes;99,9;16,7;2010;5
Nimes;41,9;21,5;2010;6
Nimes;5,7;26;2010;7
Nimes;10,5;24,4;2010;8
Nimes;176,4;19,7;2010;9
Nimes;114,2;14,8;2010;10
Nimes;111;10;2010;11
Nimes;70,8;5,8;2010;12
Nimes;34,9;6,7;2011;1
Nimes;15,9;8,8;2011;2
Nimes;147,6;11;2011;3
Nimes;16,1;16,6;2011;4
Nimes;7,8;19,8;2011;5
Nimes;69;21,3;2011;6
Nimes;66,2;22,9;2011;7
Nimes;42,8;24,2;2011;8
Nimes;24,3;22,7;2011;9
Nimes;47,1;17,3;2011;10
Nimes;233,5;13,2;2011;11
Nimes;4;8,7;2011;12
Nimes;9,8;8,1;2012;1
Nimes;0;4,7;2012;2
Nimes;10,3;13,5;2012;3
Nimes;88,8;13,7;2012;4
Nimes;88,6;18,1;2012;5
Nimes;15,5;22,6;2012;6
Nimes;27,8;24,5;2012;7
Nimes;67,7;26,2;2012;8
Nimes;44,5;20,6;2012;9
Nimes;66,8;16,9;2012;10
Nimes;53,7;11,7;2012;11
Nimes;21,5;7,4;2012;12
Nimes;41,7;6,5;2013;1
Nimes;17,7;5,5;2013;2
Nimes;177,8;10;2013;3
Nimes;76,9;12,9;2013;4
Nimes;76,4;15,5;2013;5
Nimes;12,9;20,7;2013;6
Nimes;23,3;26;2013;7
Nimes;4;24,5;2013;8
Nimes;34,2;21,2;2013;9
Nimes;37,6;18,1;2013;10
Nimes;47,8;9,9;2013;11
Nimes;55,5;8,8;2013;12
Nimes;125,3;9;2014;1
Nimes;95,3;9,2;2014;2
Nimes;21,9;12,3;2014;3
Nimes;24,3;15,9;2014;4
Nimes;9;17,8;2014;5
Nimes;55,4;23,5;2014;6
Nimes;107;23,3;2014;7
Nimes;27,2;23,4;2014;8
Nimes;140,8;21,8;2014;9
Nimes;45,6;18,7;2014;10
Nimes;247,4;13,3;2014;11
Nimes;37,1;8,4;2014;12
Montpellier;34,2;7,4;2004;1
Montpellier;27;7,5;2004;2
Montpellier;68,8;9,8;2004;3
Montpellier;86,4;13,2;2004;4
Montpellier;13,8;16,5;2004;5
Montpellier;20,8;22,3;2004;6
Montpellier;1;23,7;2004;7
Montpellier;52;23,5;2004;8
Montpellier;111,4;20,3;2004;9
Montpellier;88,4;17,3;2004;10
Montpellier;16,8;10,3;2004;11
Montpellier;80,2;8,2;2004;12
Montpellier;2,4;6,9;2005;1
Montpellier;23,2;5,6;2005;2
Montpellier;5,6;9,2;2005;3
Montpellier;30,8;13,2;2005;4
Montpellier;47,6;17,8;2005;5
Montpellier;49,8;23,3;2005;6
Montpellier;2,2;24,5;2005;7
Montpellier;15,6;23,7;2005;8
Montpellier;106,4;20,2;2005;9
Montpellier;113,6;17,1;2005;10
Montpellier;73,8;10,5;2005;11
Montpellier;2,6;4,9;2005;12
Montpellier;193;6,3;2006;1
Montpellier;5,8;6,6;2006;2
Montpellier;14,8;10,5;2006;3
Montpellier;6,4;14,9;2006;4
Montpellier;11,6;18,2;2006;5
Montpellier;1,4;22;2006;6
Montpellier;2;27;2006;7
Montpellier;17;23,3;2006;8
Montpellier;179,2;20,9;2006;9
Montpellier;42,6;18,3;2006;10
Montpellier;26,6;13,6;2006;11
Montpellier;11,6;8;2006;12
Montpellier;8,8;9,2;2007;1
Montpellier;38,2;10;2007;2
Montpellier;24,8;11,5;2007;3
Montpellier;60,8;15,7;2007;4
Montpellier;123,8;18,5;2007;5
Montpellier;17,4;21,3;2007;6
Montpellier;2,8;23,1;2007;7
Montpellier;4;22,6;2007;8
Montpellier;68,2;20;2007;9
Montpellier;42,8;15,4;2007;10
Montpellier;23;10,1;2007;11
Montpellier;4;7,6;2007;12
Montpellier;45,4;9,1;2008;1
Montpellier;20;9,2;2008;2
Montpellier;18,8;10,9;2008;3
Montpellier;44,4;13,5;2008;4
Montpellier;93,2;17,4;2008;5
Montpellier;63,8;21,8;2008;6
Montpellier;11;23,5;2008;7
Montpellier;1,8;23,4;2008;8
Montpellier;20,8;19,1;2008;9
Montpellier;67;15,4;2008;10
Montpellier;127,6;10,9;2008;11
Montpellier;172,8;7,3;2008;12
Montpellier;78;5,8;2009;1
Montpellier;103,2;8,1;2009;2
Montpellier;37,6;11,7;2009;3
Montpellier;163,6;14,3;2009;4
Montpellier;23,4;18,9;2009;5
Montpellier;7,4;22,6;2009;6
Montpellier;2,6;24,5;2009;7
Montpellier;34,4;25,1;2009;8
Montpellier;9,4;21,2;2009;9
Montpellier;104,8;16,6;2009;10
Montpellier;8,6;13;2009;11
Montpellier;44,2;7,6;2009;12
Montpellier;84;5;2010;1
Montpellier;146,6;7;2010;2
Montpellier;55,5;9,5;2010;3
Montpellier;10;14;2010;4
Montpellier;57,6;17,2;2010;5
Montpellier;17,4;21,3;2010;6
Montpellier;3;25,7;2010;7
Montpellier;9,9;24,2;2010;8
Montpellier;65,8;19,4;2010;9
Montpellier;194,1;15;2010;10
Montpellier;39,8;10,8;2010;11
Montpellier;96,4;6,4;2010;12
Montpellier;31,4;6,7;2011;1
Montpellier;8,8;8,8;2011;2
Montpellier;139,5;11,1;2011;3
Montpellier;18,5;15,9;2011;4
Montpellier;7,1;19,2;2011;5
Montpellier;36,5;21;2011;6
Montpellier;35,7;22,7;2011;7
Montpellier;4,6;23,5;2011;8
Montpellier;22,5;22,2;2011;9
Montpellier;68,9;17,5;2011;10
Montpellier;267,9;13,7;2011;11
Montpellier;3,6;9,9;2011;12
Montpellier;5;8,6;2012;1
Montpellier;0;4,4;2012;2
Montpellier;3,6;12,7;2012;3
Montpellier;42,1;13,9;2012;4
Montpellier;56,8;17,8;2012;5
Montpellier;18;22,3;2012;6
Montpellier;54,9;23,7;2012;7
Montpellier;79;24,9;2012;8
Montpellier;53,2;20,5;2012;9
Montpellier;69,1;16,9;2012;10
Montpellier;88,3;12,1;2012;11
Montpellier;38,7;8;2012;12
Montpellier;30,3;6,7;2013;1
Montpellier;6;6,7;2013;2
Montpellier;190,6;10,2;2013;3
Montpellier;78,4;12,9;2013;4
Montpellier;13,4;16;2013;5
Montpellier;41,5;20,8;2013;6
Montpellier;10,3;25;2013;7
Montpellier;28,2;23,8;2013;8
Montpellier;19,9;20,8;2013;9
Montpellier;37,1;18,1;2013;10
Montpellier;56,6;10,8;2013;11
Montpellier;13,8;8,8;2013;12
Montpellier;57,8;9,6;2014;1
Montpellier;23,3;10;2014;2
Montpellier;17,3;11,9;2014;3
Montpellier;16,6;15,8;2014;4
Montpellier;18,3;17,5;2014;5
Montpellier;41,3;22,5;2014;6
Montpellier;28,2;23,7;2014;7
Montpellier;30;23,1;2014;8
Montpellier;362,6;21,3;2014;9
Montpellier;20,9;18,8;2014;10
Montpellier;187,2;14;2014;11
Montpellier;71,8;9,1;2014;12
Perpignan;68,4;9;2004;1
Perpignan;95,4;8,4;2004;2
Perpignan;58,8;10,5;2004;3
Perpignan;205,4;13,4;2004;4
Perpignan;110,2;16,4;2004;5
Perpignan;15,8;22,7;2004;6
Perpignan;1,2;24;2004;7
Perpignan;13,6;24,9;2004;8
Perpignan;20,6;21,4;2004;9
Perpignan;59,6;17,6;2004;10
Perpignan;5,8;11,3;2004;11
Perpignan;91,6;9,6;2004;12
Perpignan;7,4;7,8;2005;1
Perpignan;181,2;6,2;2005;2
Perpignan;31;9,7;2005;3
Perpignan;12,2;13,5;2005;4
Perpignan;54,8;17,9;2005;5
Perpignan;4,6;23,4;2005;6
Perpignan;9,4;24,9;2005;7
Perpignan;15,2;23,5;2005;8
Perpignan;43,4;20,7;2005;9
Perpignan;140,2;17,7;2005;10
Perpignan;217;11,1;2005;11
Perpignan;1,8;5,9;2005;12
Perpignan;270,2;7,6;2006;1
Perpignan;11;8,2;2006;2
Perpignan;42;11,1;2006;3
Perpignan;2,6;15,2;2006;4
Perpignan;8;18,4;2006;5
Perpignan;3,4;22,5;2006;6
Perpignan;1,2;27,3;2006;7
Perpignan;47,8;23,8;2006;8
Perpignan;66,2;21,2;2006;9
Perpignan;75,2;18,6;2006;10
Perpignan;5,4;13,8;2006;11
Perpignan;19,2;8,4;2006;12
Perpignan;3,4;10,1;2007;1
Perpignan;84;10,5;2007;2
Perpignan;43,6;11,8;2007;3
Perpignan;80,2;15,8;2007;4
Perpignan;47,8;18,5;2007;5
Perpignan;6,8;22;2007;6
Perpignan;4,6;23,8;2007;7
Perpignan;17;22,9;2007;8
Perpignan;22,6;20,5;2007;9
Perpignan;31;16,9;2007;10
Perpignan;5,6;11,8;2007;11
Perpignan;50,8;9,1;2007;12
Perpignan;57;10,5;2008;1
Perpignan;5,2;10,3;2008;2
Perpignan;19,4;12;2008;3
Perpignan;17,8;14,2;2008;4
Perpignan;70,6;17,9;2008;5
Perpignan;8;22,2;2008;6
Perpignan;14,2;23,9;2008;7
Perpignan;6,6;24,1;2008;8
Perpignan;15,6;19,9;2008;9
Perpignan;6,4;16,7;2008;10
Perpignan;39;11,5;2008;11
Perpignan;207,4;8,4;2008;12
Perpignan;79,6;7,2;2009;1
Perpignan;27,8;8,9;2009;2
Perpignan;38;12,2;2009;3
Perpignan;136,6;13,5;2009;4
Perpignan;17,2;18,8;2009;5
Perpignan;25;22,9;2009;6
Perpignan;18,2;24,9;2009;7
Perpignan;10,8;26;2009;8
Perpignan;11,8;21,4;2009;9
Perpignan;49,8;17,9;2009;10
Perpignan;10,2;13,4;2009;11
Perpignan;14,4;8,6;2009;12
Perpignan;71,8;6,6;2010;1
Perpignan;49,4;7;2010;2
Perpignan;110,6;9,9;2010;3
Perpignan;21,4;14,7;2010;4
Perpignan;95,1;16,7;2010;5
Perpignan;16,6;21,5;2010;6
Perpignan;15,3;25,9;2010;7
Perpignan;4,4;24,5;2010;8
Perpignan;19,3;20,4;2010;9
Perpignan;173,9;16,1;2010;10
Perpignan;19,8;11,2;2010;11
Perpignan;8;7,2;2010;12
Perpignan;103,6;7,7;2011;1
Perpignan;46,8;9,9;2011;2
Perpignan;149,9;11,7;2011;3
Perpignan;68,1;16,3;2011;4
Perpignan;9,6;19,2;2011;5
Perpignan;46,4;21;2011;6
Perpignan;19,8;23;2011;7
Perpignan;14,4;24,2;2011;8
Perpignan;4;22,7;2011;9
Perpignan;132;18,3;2011;10
Perpignan;330,4;14,7;2011;11
Perpignan;6;10,9;2011;12
Perpignan;20,3;10;2012;1
Perpignan;1,8;6,3;2012;2
Perpignan;53,8;12,8;2012;3
Perpignan;70,4;13,9;2012;4
Perpignan;33,4;17,9;2012;5
Perpignan;12,9;22,8;2012;6
Perpignan;6,8;23,9;2012;7
Perpignan;20,2;25,3;2012;8
Perpignan;36,9;20,7;2012;9
Perpignan;160,1;17,5;2012;10
Perpignan;23,8;12,2;2012;11
Perpignan;8,6;9,6;2012;12
Perpignan;37,9;8,6;2013;1
Perpignan;44,3;7,5;2013;2
Perpignan;137,3;10,9;2013;3
Perpignan;62;13;2013;4
Perpignan;44,1;15,7;2013;5
Perpignan;20,4;20,5;2013;6
Perpignan;39,4;25,6;2013;7
Perpignan;3,4;25;2013;8
Perpignan;23,5;21,4;2013;9
Perpignan;10,8;18,5;2013;10
Perpignan;143,3;11,5;2013;11
Perpignan;7,2;8,9;2013;12
Perpignan;21,8;10,2;2014;1
Perpignan;13,4;9,8;2014;2
Perpignan;13,4;12,5;2014;3
Perpignan;63,3;16,2;2014;4
Perpignan;9,2;17,5;2014;5
Perpignan;5,4;23,1;2014;6
Perpignan;61,1;23,4;2014;7
Perpignan;47;23,3;2014;8
Perpignan;109,9;22,4;2014;9
Perpignan;6,6;19,4;2014;10
Perpignan;265,5;14,4;2014;11
Perpignan;25,1;9,8;2014;12
