"POSTE" "cumul_precip" "temperature_moyenne" "annee" "mois" "fannee"
"59" "Carcassonne" 110.8 "9" 2008 11 "2008"
"60" "Carcassonne" 74.2 "5,9" 2008 12 "2008"
"61" "Carcassonne" 101.7 "5,5" 2009 1 "2009"
"62" "Carcassonne" 25 "6,9" 2009 2 "2009"
"63" "Carcassonne" 34.8 "10,2" 2009 3 "2009"
"64" "Carcassonne" 140.8 "11,9" 2009 4 "2009"
"65" "Carcassonne" 43.4 "17,7" 2009 5 "2009"
"66" "Carcassonne" 17.6 "21,3" 2009 6 "2009"
"67" "Carcassonne" 10 "23,2" 2009 7 "2009"
"68" "Carcassonne" 25 "24,3" 2009 8 "2009"
"69" "Carcassonne" 10.2 "19,9" 2009 9 "2009"
"70" "Carcassonne" 33.2 "15,9" 2009 10 "2009"
"71" "Carcassonne" 49 "12,1" 2009 11 "2009"
"72" "Carcassonne" 43 "6,5" 2009 12 "2009"
"73" "Carcassonne" 99.3 "4,2" 2010 1 "2010"
"74" "Carcassonne" 44.2 "5,8" 2010 2 "2010"
"75" "Carcassonne" 62.6 "8,3" 2010 3 "2010"
"76" "Carcassonne" 28.2 "13,6" 2010 4 "2010"
"77" "Carcassonne" 70.7 "14,9" 2010 5 "2010"
"78" "Carcassonne" 44.6 "19,9" 2010 6 "2010"
"79" "Carcassonne" 10.1 "24" 2010 7 "2010"
"80" "Carcassonne" 11.5 "22,8" 2010 8 "2010"
"81" "Carcassonne" 31.1 "18,7" 2010 9 "2010"
"82" "Carcassonne" 133 "14" 2010 10 "2010"
"83" "Carcassonne" 37.7 "9,5" 2010 11 "2010"
"84" "Carcassonne" 8.8 "5,4" 2010 12 "2010"
"85" "Carcassonne" 39.9 "5,6" 2011 1 "2011"
"86" "Carcassonne" 56.7 "7,6" 2011 2 "2011"
"87" "Carcassonne" 95.5 "10,3" 2011 3 "2011"
"88" "Carcassonne" 16.7 "15,4" 2011 4 "2011"
"89" "Carcassonne" 30.9 "18,1" 2011 5 "2011"
"90" "Carcassonne" 44.1 "19" 2011 6 "2011"
"91" "Carcassonne" 44.5 "20,6" 2011 7 "2011"
"92" "Carcassonne" 14.4 "22,9" 2011 8 "2011"
"93" "Carcassonne" 91.6 "21,3" 2011 9 "2011"
"94" "Carcassonne" 42.4 "16,3" 2011 10 "2011"
"95" "Carcassonne" 52.7 "13,1" 2011 11 "2011"
"96" "Carcassonne" 48.6 "8,4" 2011 12 "2011"
"97" "Carcassonne" 32.1 "7,3" 2012 1 "2012"
"98" "Carcassonne" 7.4 "2,5" 2012 2 "2012"
"99" "Carcassonne" 39 "11,4" 2012 3 "2012"
"100" "Carcassonne" 66.2 "12,3" 2012 4 "2012"
"101" "Carcassonne" 66.8 "17" 2012 5 "2012"
"102" "Carcassonne" 49.2 "21,1" 2012 6 "2012"
"103" "Carcassonne" 23.9 "22,3" 2012 7 "2012"
"104" "Carcassonne" 39.9 "24,6" 2012 8 "2012"
"105" "Carcassonne" 56.1 "19,4" 2012 9 "2012"
"106" "Carcassonne" 39.5 "16" 2012 10 "2012"
"107" "Carcassonne" 37 "11" 2012 11 "2012"
"108" "Carcassonne" 56.1 "7,8" 2012 12 "2012"
"109" "Carcassonne" 105.8 "5,6" 2013 1 "2013"
"110" "Carcassonne" 54.4 "5,5" 2013 2 "2013"
"111" "Carcassonne" 92.2 "9,7" 2013 3 "2013"
"112" "Carcassonne" 84.6 "11,6" 2013 4 "2013"
"113" "Carcassonne" 119.2 "13,8" 2013 5 "2013"
"114" "Carcassonne" 46 "17,9" 2013 6 "2013"
"115" "Carcassonne" 19.6 "24,4" 2013 7 "2013"
"116" "Carcassonne" 27.8 "22,8" 2013 8 "2013"
"117" "Carcassonne" 48 "19,6" 2013 9 "2013"
"118" "Carcassonne" 30.9 "17" 2013 10 "2013"
"119" "Carcassonne" 180 "8,7" 2013 11 "2013"
"120" "Carcassonne" 21.5 "7" 2013 12 "2013"
"121" "Carcassonne" 71.2 "8,8" 2014 1 "2014"
"122" "Carcassonne" 48.5 "8,4" 2014 2 "2014"
"123" "Carcassonne" 42.4 "1à,3" 2014 3 "2014"
"124" "Carcassonne" 94.7 "14,3" 2014 4 "2014"
"125" "Carcassonne" 52.9 "15,3" 2014 5 "2014"
"126" "Carcassonne" 34.8 "21,5" 2014 6 "2014"
"127" "Carcassonne" 104.6 "21,4" 2014 7 "2014"
"128" "Carcassonne" 100.3 "21,1" 2014 8 "2014"
"129" "Carcassonne" 53.9 "20,6" 2014 9 "2014"
"130" "Carcassonne" 16 "17,9" 2014 10 "2014"
"131" "Carcassonne" 118.3 "13" 2014 11 "2014"
"132" "Carcassonne" 79.3 "7,2" 2014 12 "2014"
"133" "Nimes" 34 "6,8" 2004 1 "2004"
"134" "Nimes" 46 "7,5" 2004 2 "2004"
"135" "Nimes" 31.8 "9,6" 2004 3 "2004"
"136" "Nimes" 77.6 "13,3" 2004 4 "2004"
"137" "Nimes" 13.6 "16,8" 2004 5 "2004"
"138" "Nimes" 3.2 "22,9" 2004 6 "2004"
"139" "Nimes" 1.4 "24,7" 2004 7 "2004"
"140" "Nimes" 172.2 "24" 2004 8 "2004"
"141" "Nimes" 37.8 "20,8" 2004 9 "2004"
"142" "Nimes" 123.4 "17" 2004 10 "2004"
"143" "Nimes" 107.8 "10,2" 2004 11 "2004"
"144" "Nimes" 77.8 "7,4" 2004 12 "2004"
"145" "Nimes" 1 "6,8" 2005 1 "2005"
"146" "Nimes" 2.4 "5,8" 2005 2 "2005"
"147" "Nimes" 8.4 "9,8" 2005 3 "2005"
"148" "Nimes" 89 "13,3" 2005 4 "2005"
"149" "Nimes" 61 "18,1" 2005 5 "2005"
"150" "Nimes" 10.8 "24" 2005 6 "2005"
"151" "Nimes" 4.6 "24,9" 2005 7 "2005"
"152" "Nimes" 12.4 "24" 2005 8 "2005"
"153" "Nimes" 354.8 "20,5" 2005 9 "2005"
"154" "Nimes" 102.8 "17,2" 2005 10 "2005"
"155" "Nimes" 72.4 "9,8" 2005 11 "2005"
"156" "Nimes" 11.2 "4,7" 2005 12 "2005"
"157" "Nimes" 95.4 "6" 2006 1 "2006"
"158" "Nimes" 16.6 "6,6" 2006 2 "2006"
"159" "Nimes" 21.2 "10,3" 2006 3 "2006"
"160" "Nimes" 3.8 "15,1" 2006 4 "2006"
"161" "Nimes" 23.8 "18,4" 2006 5 "2006"
"162" "Nimes" 0.8 "22,9" 2006 6 "2006"
"163" "Nimes" 4.2 "28,4" 2006 7 "2006"
"164" "Nimes" 24.8 "23,1" 2006 8 "2006"
"165" "Nimes" 127.2 "21,5" 2006 9 "2006"
"166" "Nimes" 71.6 "18,2" 2006 10 "2006"
"167" "Nimes" 82.8 "13,1" 2006 11 "2006"
"168" "Nimes" 18.4 "7,9" 2006 12 "2006"
"169" "Nimes" 15.6 "9,4" 2007 1 "2007"
"170" "Nimes" 32.2 "9,5" 2007 2 "2007"
"171" "Nimes" 8 "11,5" 2007 3 "2007"
"172" "Nimes" 40.2 "17" 2007 4 "2007"
"173" "Nimes" 180.2 "18,7" 2007 5 "2007"
"174" "Nimes" 75 "21,8" 2007 6 "2007"
"175" "Nimes" 3 "23,6" 2007 7 "2007"
"176" "Nimes" 5.2 "23,4" 2007 8 "2007"
"177" "Nimes" 92.8 "20,3" 2007 9 "2007"
"178" "Nimes" 33.6 "15,6" 2007 10 "2007"
"179" "Nimes" 93.6 "10" 2007 11 "2007"
"180" "Nimes" 10.6 "7,1" 2007 12 "2007"
"181" "Nimes" 102 "9" 2008 1 "2008"
"182" "Nimes" 39 "9,5" 2008 2 "2008"
"183" "Nimes" 54.4 "10,3" 2008 3 "2008"
"184" "Nimes" 84.8 "13,4" 2008 4 "2008"
"185" "Nimes" 100.8 "17,6" 2008 5 "2008"
"186" "Nimes" 75 "21,9" 2008 6 "2008"
"187" "Nimes" 13 "24,2" 2008 7 "2008"
"188" "Nimes" 7.4 "24,2" 2008 8 "2008"
"189" "Nimes" 65.8 "19,4" 2008 9 "2008"
"190" "Nimes" 162.4 "15,2" 2008 10 "2008"
"191" "Nimes" 122 "10,1" 2008 11 "2008"
"192" "Nimes" 150 "6,3" 2008 12 "2008"
"193" "Nimes" 71.4 "5,2" 2009 1 "2009"
"194" "Nimes" 92.2 "7,8" 2009 2 "2009"
"195" "Nimes" 54.8 "11,5" 2009 3 "2009"
"196" "Nimes" 129.4 "14,5" 2009 4 "2009"
"197" "Nimes" 32 "19,5" 2009 5 "2009"
"198" "Nimes" 54.8 "22,6" 2009 6 "2009"
"199" "Nimes" 19.8 "25,2" 2009 7 "2009"
"200" "Nimes" 18.4 "26,4" 2009 8 "2009"
"201" "Nimes" 38 "21,6" 2009 9 "2009"
"202" "Nimes" 85.8 "16,4" 2009 10 "2009"
"203" "Nimes" 17.8 "12,2" 2009 11 "2009"
"204" "Nimes" 103.6 "7,2" 2009 12 "2009"
"205" "Nimes" 62.4 "4,2" 2010 1 "2010"
"206" "Nimes" 102.4 "6,6" 2010 2 "2010"
"207" "Nimes" 93.7 "9,5" 2010 3 "2010"
"208" "Nimes" 40 "14,4" 2010 4 "2010"
"209" "Nimes" 99.9 "16,7" 2010 5 "2010"
"210" "Nimes" 41.9 "21,5" 2010 6 "2010"
"211" "Nimes" 5.7 "26" 2010 7 "2010"
"212" "Nimes" 10.5 "24,4" 2010 8 "2010"
"213" "Nimes" 176.4 "19,7" 2010 9 "2010"
"214" "Nimes" 114.2 "14,8" 2010 10 "2010"
"215" "Nimes" 111 "10" 2010 11 "2010"
"216" "Nimes" 70.8 "5,8" 2010 12 "2010"
"217" "Nimes" 34.9 "6,7" 2011 1 "2011"
"218" "Nimes" 15.9 "8,8" 2011 2 "2011"
"219" "Nimes" 147.6 "11" 2011 3 "2011"
"220" "Nimes" 16.1 "16,6" 2011 4 "2011"
"221" "Nimes" 7.8 "19,8" 2011 5 "2011"
"222" "Nimes" 69 "21,3" 2011 6 "2011"
"223" "Nimes" 66.2 "22,9" 2011 7 "2011"
"224" "Nimes" 42.8 "24,2" 2011 8 "2011"
"225" "Nimes" 24.3 "22,7" 2011 9 "2011"
"226" "Nimes" 47.1 "17,3" 2011 10 "2011"
"227" "Nimes" 233.5 "13,2" 2011 11 "2011"
"228" "Nimes" 4 "8,7" 2011 12 "2011"
"229" "Nimes" 9.8 "8,1" 2012 1 "2012"
"230" "Nimes" 0 "4,7" 2012 2 "2012"
"231" "Nimes" 10.3 "13,5" 2012 3 "2012"
"232" "Nimes" 88.8 "13,7" 2012 4 "2012"
"233" "Nimes" 88.6 "18,1" 2012 5 "2012"
"234" "Nimes" 15.5 "22,6" 2012 6 "2012"
"235" "Nimes" 27.8 "24,5" 2012 7 "2012"
"236" "Nimes" 67.7 "26,2" 2012 8 "2012"
"237" "Nimes" 44.5 "20,6" 2012 9 "2012"
"238" "Nimes" 66.8 "16,9" 2012 10 "2012"
"239" "Nimes" 53.7 "11,7" 2012 11 "2012"
"240" "Nimes" 21.5 "7,4" 2012 12 "2012"
"241" "Nimes" 41.7 "6,5" 2013 1 "2013"
"242" "Nimes" 17.7 "5,5" 2013 2 "2013"
"243" "Nimes" 177.8 "10" 2013 3 "2013"
"244" "Nimes" 76.9 "12,9" 2013 4 "2013"
"245" "Nimes" 76.4 "15,5" 2013 5 "2013"
"246" "Nimes" 12.9 "20,7" 2013 6 "2013"
"247" "Nimes" 23.3 "26" 2013 7 "2013"
"248" "Nimes" 4 "24,5" 2013 8 "2013"
"249" "Nimes" 34.2 "21,2" 2013 9 "2013"
"250" "Nimes" 37.6 "18,1" 2013 10 "2013"
"251" "Nimes" 47.8 "9,9" 2013 11 "2013"
"252" "Nimes" 55.5 "8,8" 2013 12 "2013"
"253" "Nimes" 125.3 "9" 2014 1 "2014"
"254" "Nimes" 95.3 "9,2" 2014 2 "2014"
"255" "Nimes" 21.9 "12,3" 2014 3 "2014"
"256" "Nimes" 24.3 "15,9" 2014 4 "2014"
"257" "Nimes" 9 "17,8" 2014 5 "2014"
"258" "Nimes" 55.4 "23,5" 2014 6 "2014"
"259" "Nimes" 107 "23,3" 2014 7 "2014"
"260" "Nimes" 27.2 "23,4" 2014 8 "2014"
"261" "Nimes" 140.8 "21,8" 2014 9 "2014"
"262" "Nimes" 45.6 "18,7" 2014 10 "2014"
"263" "Nimes" 247.4 "13,3" 2014 11 "2014"
"264" "Nimes" 37.1 "8,4" 2014 12 "2014"
"265" "Montpellier" 34.2 "7,4" 2004 1 "2004"
"266" "Montpellier" 27 "7,5" 2004 2 "2004"
"267" "Montpellier" 68.8 "9,8" 2004 3 "2004"
"268" "Montpellier" 86.4 "13,2" 2004 4 "2004"
"269" "Montpellier" 13.8 "16,5" 2004 5 "2004"
"270" "Montpellier" 20.8 "22,3" 2004 6 "2004"
"271" "Montpellier" 1 "23,7" 2004 7 "2004"
"272" "Montpellier" 52 "23,5" 2004 8 "2004"
"273" "Montpellier" 111.4 "20,3" 2004 9 "2004"
"274" "Montpellier" 88.4 "17,3" 2004 10 "2004"
"275" "Montpellier" 16.8 "10,3" 2004 11 "2004"
"276" "Montpellier" 80.2 "8,2" 2004 12 "2004"
"277" "Montpellier" 2.4 "6,9" 2005 1 "2005"
"278" "Montpellier" 23.2 "5,6" 2005 2 "2005"
"279" "Montpellier" 5.6 "9,2" 2005 3 "2005"
"280" "Montpellier" 30.8 "13,2" 2005 4 "2005"
"281" "Montpellier" 47.6 "17,8" 2005 5 "2005"
"282" "Montpellier" 49.8 "23,3" 2005 6 "2005"
"283" "Montpellier" 2.2 "24,5" 2005 7 "2005"
"284" "Montpellier" 15.6 "23,7" 2005 8 "2005"
"285" "Montpellier" 106.4 "20,2" 2005 9 "2005"
"286" "Montpellier" 113.6 "17,1" 2005 10 "2005"
"287" "Montpellier" 73.8 "10,5" 2005 11 "2005"
"288" "Montpellier" 2.6 "4,9" 2005 12 "2005"
"289" "Montpellier" 193 "6,3" 2006 1 "2006"
"290" "Montpellier" 5.8 "6,6" 2006 2 "2006"
"291" "Montpellier" 14.8 "10,5" 2006 3 "2006"
"292" "Montpellier" 6.4 "14,9" 2006 4 "2006"
"293" "Montpellier" 11.6 "18,2" 2006 5 "2006"
"294" "Montpellier" 1.4 "22" 2006 6 "2006"
"295" "Montpellier" 2 "27" 2006 7 "2006"
"296" "Montpellier" 17 "23,3" 2006 8 "2006"
"297" "Montpellier" 179.2 "20,9" 2006 9 "2006"
"298" "Montpellier" 42.6 "18,3" 2006 10 "2006"
"299" "Montpellier" 26.6 "13,6" 2006 11 "2006"
"300" "Montpellier" 11.6 "8" 2006 12 "2006"
"301" "Montpellier" 8.8 "9,2" 2007 1 "2007"
"302" "Montpellier" 38.2 "10" 2007 2 "2007"
"303" "Montpellier" 24.8 "11,5" 2007 3 "2007"
"304" "Montpellier" 60.8 "15,7" 2007 4 "2007"
"305" "Montpellier" 123.8 "18,5" 2007 5 "2007"
"306" "Montpellier" 17.4 "21,3" 2007 6 "2007"
"307" "Montpellier" 2.8 "23,1" 2007 7 "2007"
"308" "Montpellier" 4 "22,6" 2007 8 "2007"
"309" "Montpellier" 68.2 "20" 2007 9 "2007"
"310" "Montpellier" 42.8 "15,4" 2007 10 "2007"
"311" "Montpellier" 23 "10,1" 2007 11 "2007"
"312" "Montpellier" 4 "7,6" 2007 12 "2007"
"313" "Montpellier" 45.4 "9,1" 2008 1 "2008"
"314" "Montpellier" 20 "9,2" 2008 2 "2008"
"315" "Montpellier" 18.8 "10,9" 2008 3 "2008"
"316" "Montpellier" 44.4 "13,5" 2008 4 "2008"
"317" "Montpellier" 93.2 "17,4" 2008 5 "2008"
"318" "Montpellier" 63.8 "21,8" 2008 6 "2008"
"319" "Montpellier" 11 "23,5" 2008 7 "2008"
"320" "Montpellier" 1.8 "23,4" 2008 8 "2008"
"321" "Montpellier" 20.8 "19,1" 2008 9 "2008"
"322" "Montpellier" 67 "15,4" 2008 10 "2008"
"323" "Montpellier" 127.6 "10,9" 2008 11 "2008"
"324" "Montpellier" 172.8 "7,3" 2008 12 "2008"
"325" "Montpellier" 78 "5,8" 2009 1 "2009"
"326" "Montpellier" 103.2 "8,1" 2009 2 "2009"
"327" "Montpellier" 37.6 "11,7" 2009 3 "2009"
"328" "Montpellier" 163.6 "14,3" 2009 4 "2009"
"329" "Montpellier" 23.4 "18,9" 2009 5 "2009"
"330" "Montpellier" 7.4 "22,6" 2009 6 "2009"
"331" "Montpellier" 2.6 "24,5" 2009 7 "2009"
"332" "Montpellier" 34.4 "25,1" 2009 8 "2009"
"333" "Montpellier" 9.4 "21,2" 2009 9 "2009"
"334" "Montpellier" 104.8 "16,6" 2009 10 "2009"
"335" "Montpellier" 8.6 "13" 2009 11 "2009"
"336" "Montpellier" 44.2 "7,6" 2009 12 "2009"
"337" "Montpellier" 84 "5" 2010 1 "2010"
"338" "Montpellier" 146.6 "7" 2010 2 "2010"
"339" "Montpellier" 55.5 "9,5" 2010 3 "2010"
"340" "Montpellier" 10 "14" 2010 4 "2010"
"341" "Montpellier" 57.6 "17,2" 2010 5 "2010"
"342" "Montpellier" 17.4 "21,3" 2010 6 "2010"
"343" "Montpellier" 3 "25,7" 2010 7 "2010"
"344" "Montpellier" 9.9 "24,2" 2010 8 "2010"
"345" "Montpellier" 65.8 "19,4" 2010 9 "2010"
"346" "Montpellier" 194.1 "15" 2010 10 "2010"
"347" "Montpellier" 39.8 "10,8" 2010 11 "2010"
"348" "Montpellier" 96.4 "6,4" 2010 12 "2010"
"349" "Montpellier" 31.4 "6,7" 2011 1 "2011"
"350" "Montpellier" 8.8 "8,8" 2011 2 "2011"
"351" "Montpellier" 139.5 "11,1" 2011 3 "2011"
"352" "Montpellier" 18.5 "15,9" 2011 4 "2011"
"353" "Montpellier" 7.1 "19,2" 2011 5 "2011"
"354" "Montpellier" 36.5 "21" 2011 6 "2011"
"355" "Montpellier" 35.7 "22,7" 2011 7 "2011"
"356" "Montpellier" 4.6 "23,5" 2011 8 "2011"
"357" "Montpellier" 22.5 "22,2" 2011 9 "2011"
"358" "Montpellier" 68.9 "17,5" 2011 10 "2011"
"359" "Montpellier" 267.9 "13,7" 2011 11 "2011"
"360" "Montpellier" 3.6 "9,9" 2011 12 "2011"
"361" "Montpellier" 5 "8,6" 2012 1 "2012"
"362" "Montpellier" 0 "4,4" 2012 2 "2012"
"363" "Montpellier" 3.6 "12,7" 2012 3 "2012"
"364" "Montpellier" 42.1 "13,9" 2012 4 "2012"
"365" "Montpellier" 56.8 "17,8" 2012 5 "2012"
"366" "Montpellier" 18 "22,3" 2012 6 "2012"
"367" "Montpellier" 54.9 "23,7" 2012 7 "2012"
"368" "Montpellier" 79 "24,9" 2012 8 "2012"
"369" "Montpellier" 53.2 "20,5" 2012 9 "2012"
"370" "Montpellier" 69.1 "16,9" 2012 10 "2012"
"371" "Montpellier" 88.3 "12,1" 2012 11 "2012"
"372" "Montpellier" 38.7 "8" 2012 12 "2012"
"373" "Montpellier" 30.3 "6,7" 2013 1 "2013"
"374" "Montpellier" 6 "6,7" 2013 2 "2013"
"375" "Montpellier" 190.6 "10,2" 2013 3 "2013"
"376" "Montpellier" 78.4 "12,9" 2013 4 "2013"
"377" "Montpellier" 13.4 "16" 2013 5 "2013"
"378" "Montpellier" 41.5 "20,8" 2013 6 "2013"
"379" "Montpellier" 10.3 "25" 2013 7 "2013"
"380" "Montpellier" 28.2 "23,8" 2013 8 "2013"
"381" "Montpellier" 19.9 "20,8" 2013 9 "2013"
"382" "Montpellier" 37.1 "18,1" 2013 10 "2013"
"383" "Montpellier" 56.6 "10,8" 2013 11 "2013"
"384" "Montpellier" 13.8 "8,8" 2013 12 "2013"
"385" "Montpellier" 57.8 "9,6" 2014 1 "2014"
"386" "Montpellier" 23.3 "10" 2014 2 "2014"
"387" "Montpellier" 17.3 "11,9" 2014 3 "2014"
"388" "Montpellier" 16.6 "15,8" 2014 4 "2014"
"389" "Montpellier" 18.3 "17,5" 2014 5 "2014"
"390" "Montpellier" 41.3 "22,5" 2014 6 "2014"
"391" "Montpellier" 28.2 "23,7" 2014 7 "2014"
"392" "Montpellier" 30 "23,1" 2014 8 "2014"
"393" "Montpellier" 362.6 "21,3" 2014 9 "2014"
"394" "Montpellier" 20.9 "18,8" 2014 10 "2014"
"395" "Montpellier" 187.2 "14" 2014 11 "2014"
"396" "Montpellier" 71.8 "9,1" 2014 12 "2014"
"397" "Perpignan" 68.4 "9" 2004 1 "2004"
"398" "Perpignan" 95.4 "8,4" 2004 2 "2004"
"399" "Perpignan" 58.8 "10,5" 2004 3 "2004"
"400" "Perpignan" 205.4 "13,4" 2004 4 "2004"
"401" "Perpignan" 110.2 "16,4" 2004 5 "2004"
"402" "Perpignan" 15.8 "22,7" 2004 6 "2004"
"403" "Perpignan" 1.2 "24" 2004 7 "2004"
"404" "Perpignan" 13.6 "24,9" 2004 8 "2004"
"405" "Perpignan" 20.6 "21,4" 2004 9 "2004"
"406" "Perpignan" 59.6 "17,6" 2004 10 "2004"
"407" "Perpignan" 5.8 "11,3" 2004 11 "2004"
"408" "Perpignan" 91.6 "9,6" 2004 12 "2004"
"409" "Perpignan" 7.4 "7,8" 2005 1 "2005"
"410" "Perpignan" 181.2 "6,2" 2005 2 "2005"
"411" "Perpignan" 31 "9,7" 2005 3 "2005"
"412" "Perpignan" 12.2 "13,5" 2005 4 "2005"
"413" "Perpignan" 54.8 "17,9" 2005 5 "2005"
"414" "Perpignan" 4.6 "23,4" 2005 6 "2005"
"415" "Perpignan" 9.4 "24,9" 2005 7 "2005"
"416" "Perpignan" 15.2 "23,5" 2005 8 "2005"
"417" "Perpignan" 43.4 "20,7" 2005 9 "2005"
"418" "Perpignan" 140.2 "17,7" 2005 10 "2005"
"419" "Perpignan" 217 "11,1" 2005 11 "2005"
"420" "Perpignan" 1.8 "5,9" 2005 12 "2005"
"421" "Perpignan" 270.2 "7,6" 2006 1 "2006"
"422" "Perpignan" 11 "8,2" 2006 2 "2006"
"423" "Perpignan" 42 "11,1" 2006 3 "2006"
"424" "Perpignan" 2.6 "15,2" 2006 4 "2006"
"425" "Perpignan" 8 "18,4" 2006 5 "2006"
"426" "Perpignan" 3.4 "22,5" 2006 6 "2006"
"427" "Perpignan" 1.2 "27,3" 2006 7 "2006"
"428" "Perpignan" 47.8 "23,8" 2006 8 "2006"
"429" "Perpignan" 66.2 "21,2" 2006 9 "2006"
"430" "Perpignan" 75.2 "18,6" 2006 10 "2006"
"431" "Perpignan" 5.4 "13,8" 2006 11 "2006"
"432" "Perpignan" 19.2 "8,4" 2006 12 "2006"
"433" "Perpignan" 3.4 "10,1" 2007 1 "2007"
"434" "Perpignan" 84 "10,5" 2007 2 "2007"
"435" "Perpignan" 43.6 "11,8" 2007 3 "2007"
"436" "Perpignan" 80.2 "15,8" 2007 4 "2007"
"437" "Perpignan" 47.8 "18,5" 2007 5 "2007"
"438" "Perpignan" 6.8 "22" 2007 6 "2007"
"439" "Perpignan" 4.6 "23,8" 2007 7 "2007"
"440" "Perpignan" 17 "22,9" 2007 8 "2007"
"441" "Perpignan" 22.6 "20,5" 2007 9 "2007"
"442" "Perpignan" 31 "16,9" 2007 10 "2007"
"443" "Perpignan" 5.6 "11,8" 2007 11 "2007"
"444" "Perpignan" 50.8 "9,1" 2007 12 "2007"
"445" "Perpignan" 57 "10,5" 2008 1 "2008"
"446" "Perpignan" 5.2 "10,3" 2008 2 "2008"
"447" "Perpignan" 19.4 "12" 2008 3 "2008"
"448" "Perpignan" 17.8 "14,2" 2008 4 "2008"
"449" "Perpignan" 70.6 "17,9" 2008 5 "2008"
"450" "Perpignan" 8 "22,2" 2008 6 "2008"
"451" "Perpignan" 14.2 "23,9" 2008 7 "2008"
"452" "Perpignan" 6.6 "24,1" 2008 8 "2008"
"453" "Perpignan" 15.6 "19,9" 2008 9 "2008"
"454" "Perpignan" 6.4 "16,7" 2008 10 "2008"
"455" "Perpignan" 39 "11,5" 2008 11 "2008"
"456" "Perpignan" 207.4 "8,4" 2008 12 "2008"
"457" "Perpignan" 79.6 "7,2" 2009 1 "2009"
